Section,Key,Value
"PROJECT OVERVIEW","Project Name","DormFlow"
"PROJECT OVERVIEW","Version","3.0.0"
"PROJECT OVERVIEW","Institution","University College of Engineering, Ariyalur"
"PROJECT OVERVIEW","Type","Mobile-first Single Page Application (SPA)"
"PROJECT OVERVIEW","Target Platform","Android (via Capacitor 8)"
"PROJECT OVERVIEW","Developer","Varun C"
"PROJECT OVERVIEW","Company","MooN Software Solutions"
"PROJECT OVERVIEW","Instagram","@mr_varun_c"
"PROJECT OVERVIEW","App ID","com.dormflow.app"
"PROJECT OVERVIEW","Build Output","DormFlow.apk (~5.8 MB)"
"","",
"TECH STACK","Frontend","Vanilla JavaScript (ES Modules)"
"TECH STACK","Bundler","Vite ^8.0.12"
"TECH STACK","Mobile Shell","Capacitor ^8.4.0"
"TECH STACK","Backend / Database","Supabase (Postgres + Auth + Storage)"
"TECH STACK","Charts","Chart.js ^4.5.1"
"TECH STACK","QR Generation","qrcode (npm) ^1.5.4"
"TECH STACK","QR Scanning","html5-qrcode ^2.3.8"
"TECH STACK","Fonts","@fontsource/inter, @fontsource/material-icons-outlined"
"TECH STACK","Icons","Material Icons Outlined"
"","",
"DEPENDENCIES","@capacitor/android","^8.4.0"
"DEPENDENCIES","@capacitor/cli","^8.4.0"
"DEPENDENCIES","@capacitor/core","^8.4.0"
"DEPENDENCIES","@fontsource/inter","^5.2.8"
"DEPENDENCIES","@fontsource/material-icons-outlined","^5.2.6"
"DEPENDENCIES","@supabase/supabase-js","^2.107.0"
"DEPENDENCIES","chart.js","^4.5.1"
"DEPENDENCIES","html5-qrcode","^2.3.8"
"DEPENDENCIES","qrcode","^1.5.4"
"DEPENDENCIES","vite","^8.0.12 (dev)"
"","",
"ROUTES","#/splash","Animated splash screen (All roles)"
"ROUTES","#/login","Role-selector login (All roles)"
"ROUTES","#/register","Registration form (Student)"
"ROUTES","#/student/dashboard","Welcome + active leave + stats (Student)"
"ROUTES","#/student/apply","Leave application form (Student)"
"ROUTES","#/student/history","Leave history with filters (Student)"
"ROUTES","#/student/outpass","QR code outpass display (Student)"
"ROUTES","#/student/profile","Profile + avatar + change password + about (Student)"
"ROUTES","#/warden/dashboard","Stats + pending approvals + weekly chart (Warden)"
"ROUTES","#/warden/requests","Approve/reject leave requests (Warden)"
"ROUTES","#/warden/residents","Resident list with search (Warden)"
"ROUTES","#/warden/profile","Profile + change password + about (Warden)"
"ROUTES","#/gate/dashboard","QR scanner + manual entry + activity log (Security)"
"ROUTES","#/gate/history","Scan history (Security)"
"ROUTES","#/gate/inhouse","Currently in-house students (Security)"
"ROUTES","#/gate/system","Terminal info + change password + about (Security)"
"ROUTES","#/admin/dashboard","System health + monthly chart + staff (Admin)"
"ROUTES","#/admin/users","User management + pending approvals (Admin)"
"ROUTES","#/admin/leaves","All leave requests (Admin)"
"ROUTES","#/admin/profile","Profile + change password + about (Admin)"
"","",
